"간선도로 지점별(1)",2021,2022,2023
"진흥로(구기터널)",42541,41417,41213
"평창문화로(북악터널)",41546,41392,41115
"동호로(금호터널)",61491,60940,61995
"서빙고로(한남역)",86338,84932,84799
"천호대로(군자교)",81095,79931,79570
"뚝섬로(용비교)",65644,64502,63788
"동일로(군자교)",64612,63848,64010
"화랑로(상월곡역)",67567,67117,67943
"동소문로(길음교사거리)",55686,55405,56064
"화랑로(화랑대역)",67211,67537,67004
"도봉로(쌍문역)",43027,41897,42409
"동부간선도로(월계1교)",119920,126236,123690
"동일로(노원역)",37561,37352,37442
"증산로(디지털미디어시티역)",63470,64633,64804
"통일로(산골고개정류장)",65581,64671,66301
"성산로(연희IC)",73568,76228,77980
"연희로(연희IC)",34854,36670,36706
"남부순환도로(화곡로입구교차로)",72080,72007,69470
"남부순환로(신월IC)",107216,106825,109544
"강서로(화곡터널)",37711,37356,37562
"공항대로(발산역)",50328,50416,50477
"경인로(오류IC)",46216,45818,47089
"경인로(거리공원입구교차로)",46190,45898,49291
"시흥대로(시흥IC)",78500,75950,74397
"영등포로(오목교)",55163,56738,57412
"시흥대로(구로디지털단지역)",70587,66105,64199
"국회대로(여의2교)",53722,49423,49704
"경인로(서울교)",90915,91034,91117
"여의대방로(여의교)",82385,80537,82005
"양녕로(상도터널)",67482,68430,68934
"동작대로(총신대입구역)",82634,82990,82544
"문성로(난곡터널)",15411,14775,14811
"남부순환로(낙성대역)",90723,89237,89886
"남부순환로(예술의전당)",82399,82135,82012
"강남대로(강남역-신분당)",53898,53290,54695
"사평대로(고속터미널역)",83240,82940,84911
"반포대로(서초역)",81650,79190,78319
"언주로(매봉터널)",58894,59652,59753
"남부순환로(수서IC)",97512,99326,103973
"헌릉로(세곡동사거리)",63340,61994,64245
"노들로",57855,57108,57953
"테헤란로(선릉역)",65162,66171,67750
"강남대로(신사역)",64676,69364,75840
"백제고분로(종합운동장)",36939,37241,36669
"송파대로(송파역)",74952,75973,76885
"서부간선도로(오목교)",-,103898,104339
