"교량지점별(1)",교량지점별(2),2021,2022,2023
"합계",행주대교,106107,104909,103134
"합계",월드컵대교,...,53934,62131
"합계",가양대교,116359,113828,111152
"합계",성산대교,150040,152229,145777
"합계",양화대교,131875,120936,116550
"합계",서강대교,43957,41754,41823
"합계",마포대교,110185,117884,117615
"합계",원효대교,52271,52633,52977
"합계",한강대교,91649,90811,89871
"합계",동작대교,56332,53054,54111
"합계",반포대교,88274,93452,93632
"합계",잠수교,22887,22725,22110
"합계",한남대교,181307,190269,196502
"합계",동호대교,69740,68294,70643
"합계",성수대교,125260,127918,123546
"합계",영동대교,120822,123636,121387
"합계",청담대교,124471,124328,123451
"합계",잠실대교,95561,94761,93017
"합계",올림픽대교,69034,69633,72977
"합계",천호대교,70138,69343,67289
"합계",광진교,16778,15558,14845
