"도심지점별(1)",도심지점별(2),2021,2022,2023
"합계",성산로(금화터널),61628,63125,62719
"합계",사직로(사직터널),68168,67874,68989
"합계",자하문로(자하문터널),29086,27352,27428
"합계",대사관로(삼청터널),11963,10925,10508
"합계",율곡로(안국역),52628,53866,53806
"합계",창경궁로(서울여자대학교),38112,40487,41506
"합계",대학로(한국방송통신대학교),33772,32746,35030
"합계",종로(동묘앞역),50765,50681,52146
"합계",퇴계로(신당역),41021,41158,43085
"합계",동호로(장충체육관),52273,53542,56042
"합계",장충단로(장충단공원),47768,48456,49261
"합계",퇴계로(회현역),29730,29905,29707
"합계",세종대로(서울역),53578,54211,55509
"합계",새문안로(서울역사박물관),45839,46193,47579
"합계",종로(종로3가역),41143,41158,41664
"합계",서소문로(시청역),42890,44797,43390
"합계",세종대로(시청역2),61490,60933,61799
"합계",을지로(을지로3가역),31220,30783,31410
"합계",칠패로(숭례문),16232,16281,18107
"합계",남산1호터널,63685,65518,67741
"합계",남산2호터널,19913,19678,20439
"합계",남산3호터널,31989,32713,34413
"합계",소월로(회현역),11306,10832,11407
"합계",소파로(숭의여자대학교),9618,9592,9502
