지점명,2021,2022,2023
성산로(금화터널),61628,63125,62719
사직로(사직터널),68168,67874,68989
자하문로(자하문터널),29086,27352,27428
대사관로(삼청터널),11963,10925,10508
율곡로(안국역),52628,53866,53806
창경궁로(서울여자대학교),38112,40487,41506
대학로(한국방송통신대학교),33772,32746,35030
종로(동묘앞역),50765,50681,52146
퇴계로(신당역),41021,41158,43085
동호로(장충체육관),52273,53542,56042
장충단로(장충단공원),47768,48456,49261
퇴계로(회현역),29730,29905,29707
세종대로(서울역),53578,54211,55509
새문안로(서울역사박물관),45839,46193,47579
종로(종로3가역),41143,41158,41664
서소문로(시청역),42890,44797,43390
세종대로(시청역2),61490,60933,61799
을지로(을지로3가역),31220,30783,31410
칠패로(숭례문),16232,16281,18107
남산1호터널,63685,65518,67741
남산2호터널,19913,19678,20439
남산3호터널,31989,32713,34413
소월로(회현역),11306,10832,11407
소파로(숭의여자대학교),9618,9592,9502
도봉로(도봉산역),50853,49454,49206
동일로(의정부IC),85759,83299,86028
아차산로(워커힐),28456,27819,30472
망우로(망우리공원),31915,30939,30930
경춘북로(중랑경찰서),48402,47325,48850
화랑로(조선왕릉),48003,47702,47768
북부간선도로(신내IC),118711,120590,121532
서하남로(서하남IC),101911,101957,103208
천호대로(상일IC),100627,103193,108339
올림픽대로(강일IC),204401,199620,196876
경부고속도로(양재IC),186278,188060,188800
송파대로(복정역),59091,58773,58967
밤고개로(세곡동사거리),44062,42515,43537
분당수서로(성남시계),100606,100172,97168
과천대로(남태령역),64091,64043,67350
양재대로(양재IC),150728,153599,166123
반포대로(우면산터널),67905,65293,66363
시흥대로(석수역),81200,81047,85197
금오로(광명시계),10750,10574,10884
오리로(광명시계),25883,24877,24935
개봉로(개봉교),23969,23083,22601
광명대교(광명시계),25772,24986,25676
철산교(광명시계),38205,38024,38908
금천교(광명시계),57804,55519,54727
금하로(광명시계),33604,34192,35637
오정로(부천시계),23935,23974,23564
화곡로(화곡로입구),36339,36362,37694
경인고속국도(신월IC),178744,177583,159961
경인로(유한공고),31600,31267,31518
신정로(작동터널),44500,44242,46311
김포대로(개화교),50588,50385,51385
올림픽대로(개화IC),173024,174437,170949
통일로(고양시계),49037,51445,53746
서오릉로(고양시계),41859,42230,43338
수색로(고양시계),51741,51076,55264
강변북로(난지한강공원),236735,252201,258381
강변북로(구리시계),138104,138351,135986
동부간선도로(상도지하차도),-,70315,72163
행주대교,106107,104909,103134
월드컵대교,...,53934,62131
가양대교,116359,113828,111152
성산대교,150040,152229,145777
양화대교,131875,120936,116550
서강대교,43957,41754,41823
마포대교,110185,117884,117615
원효대교,52271,52633,52977
한강대교,91649,90811,89871
동작대교,56332,53054,54111
반포대교,88274,93452,93632
잠수교,22887,22725,22110
한남대교,181307,190269,196502
동호대교,69740,68294,70643
성수대교,125260,127918,123546
영동대교,120822,123636,121387
청담대교,124471,124328,123451
잠실대교,95561,94761,93017
올림픽대교,69034,69633,72977
천호대교,70138,69343,67289
광진교,16778,15558,14845
진흥로(구기터널),42541,41417,41213
평창문화로(북악터널),41546,41392,41115
동호로(금호터널),61491,60940,61995
서빙고로(한남역),86338,84932,84799
천호대로(군자교),81095,79931,79570
뚝섬로(용비교),65644,64502,63788
동일로(군자교),64612,63848,64010
화랑로(상월곡역),67567,67117,67943
동소문로(길음교사거리),55686,55405,56064
화랑로(화랑대역),67211,67537,67004
도봉로(쌍문역),43027,41897,42409
동부간선도로(월계1교),119920,126236,123690
동일로(노원역),37561,37352,37442
증산로(디지털미디어시티역),63470,64633,64804
통일로(산골고개정류장),65581,64671,66301
성산로(연희IC),73568,76228,77980
연희로(연희IC),34854,36670,36706
남부순환도로(화곡로입구교차로),72080,72007,69470
남부순환로(신월IC),107216,106825,109544
강서로(화곡터널),37711,37356,37562
공항대로(발산역),50328,50416,50477
경인로(오류IC),46216,45818,47089
경인로(거리공원입구교차로),46190,45898,49291
시흥대로(시흥IC),78500,75950,74397
영등포로(오목교),55163,56738,57412
시흥대로(구로디지털단지역),70587,66105,64199
국회대로(여의2교),53722,49423,49704
경인로(서울교),90915,91034,91117
여의대방로(여의교),82385,80537,82005
양녕로(상도터널),67482,68430,68934
동작대로(총신대입구역),82634,82990,82544
문성로(난곡터널),15411,14775,14811
남부순환로(낙성대역),90723,89237,89886
남부순환로(예술의전당),82399,82135,82012
강남대로(강남역-신분당),53898,53290,54695
사평대로(고속터미널역),83240,82940,84911
반포대로(서초역),81650,79190,78319
언주로(매봉터널),58894,59652,59753
남부순환로(수서IC),97512,99326,103973
헌릉로(세곡동사거리),63340,61994,64245
노들로,57855,57108,57953
테헤란로(선릉역),65162,66171,67750
강남대로(신사역),64676,69364,75840
백제고분로(종합운동장),36939,37241,36669
송파대로(송파역),74952,75973,76885
서부간선도로(오목교),-,103898,104339
올림픽대로,243077.0,107786,106155
강변북로,225665.0,118849,116993
내부순환로,138821.0,69462,69224
북부간선도로,105921.0,56971,57312
동부간선도로,133006.0,73806,73374
경부고속도로,192269.0,98426,97219
분당수서로,134216.0,67390,66885
강남순환로,90451.0,44879,47461
서부간선지하도로,95170.0,26727,27826
신월여의지하도로,,24837,29864
